,sentence,topic
1633,"Alex először 2008-ban került a tengeren túli címlapokra, amikor ""drogos botrányfotók"" készültek róla egy helyi elitklubban.",other
5508,"Erősödtek az európai részvények is, ugyanakkor a hétfői és a keddi munkaszüneti napok miatt visszafogott volt a kereskedelem a régióban –",economy
7974,Mi pedig újra kifosztottak lettünk.,other
510,A fedezetlenségi díj személyautó esetében annak teljesítményéhez kötött.,economy
9738,"Utolsó ismert ruházata farmernadrág, fehér póló és sportcipő.",other
2416,A rádiót és a fedélzeti számítógépet is alaphelyzetbe kell állítani.,technology
5447,"Ennek nyomán fontos küldetésnek tekintik, hogy megőrizzék és közreadják a város múltjára és jelenére vonatkozó anyagokat megőrizzük és közreadjuk, növelve a helyi közösség összetartását, öntudatát.",other
9585,"Ugyanakkor az Óvár utcán zajló munkálatok hamarosan befejeződnek, így jövő hét közepén már az autósok is használhatják azt újra a megszokott módon 3,5 tonnás súlykorlátozás mellett.",trafic
3913,Az idei verseny díjainak egyike.,other
4256,"Aztán meglátom, ő az.",other
9788,Valószínűleg ezzel magyarázhatóak a mostani tömeges elbocsátások.,economy
6701,"Így nézett ki a Cybertruck a 2019-es bemutatón - nem úgy tűnik, hogy sikerült kijavítani a hibákat.",technology
96,A bajnokság emellett a szakképző intézetek és a vállalati szféra közötti kapcsolatok erősítését is szolgálja.,other
1363,"A kormány mindent megtett annak érdekében, hogy a gazdák a lehető legkevésbé érezzék meg a háború hatásait és a múlt évi aszály következményeit - jelentette ki Nagy István agrárminiszter a Magyar Nemzetnek adott interjúban.",politics
4071,"Az olaj 0,5%-kal magasabban kereskedik, míg az amerikai földgáz ára stagnál.",economy
2223,"A nőnek az élettársa mellett egy szeretője is volt – a placentából kimutatták, hogy a gyerek apja az asszony élettársa volt.",other
9812,Vannak még jó gyerekek,other
1308,"A komáromi szakaszon, a 85-ös és a 94-es km között, Győr elkerülő szakaszán, a 123-as és a 125-ös km között, valamint a lébényi szakaszon, a 142-es és a 148-as km között.",trafic
1696,A magyar gazdaságnak égetően nagy szüksége van a külföldi munkaerőre.,economy
9762,"Val a csoport vezetője, Ezra pedig meg akarja erősíteni pozícióját a hierarchiában.",other
7862,"Mindig szerettem magamat tökösnek és keménynek mutatni, de valójában nem hiszek abban a tételben, hogy egy férfi nem sírhat.",other
1982,"A miniszter remek hírnek nevezte, hogy az egyik érintett bizonyíthatóan életben van, és leszögezte, hogy jó lenne megtalálni a másik személyt is, ahogyan az is jó lenne, ha mindketten minél előbb hazatérhetnének.",politics
2024,A Money Heist spin-offja egy friss előzetessel mutatta meg magát.,other
2608,"A sikeres üzletember-feltaláló csak nevet ezen, és közli: 77 évesen is napi 10 órát dolgozik, és igencsak jól érzi magát a bőrében.",economy
933,"A hőcserélő ezután extra hűtőként működik, és a forró levegőt a motorból a belső térbe irányítja.",technology
5192,"Ehhez hasonló, stadionon belüli ütésváltásra, a diósgyőri tábor történetében több mint 24 éve nem volt példa, legutóbb 1999.",sport
8083,"Most m,ár az lenne a meglepő, ha a gázolaj nem csökkenne 600 forint alá.",economy
9733,"Utóbbi létesítmény tesztversenyek után az utánpótláskorú versenyzőknek rendezett fedett pályás országos bajnokságnak adott otthont, majd a felnőttek is itt küzdöttek meg a bajnoki címekért.",sport
3605,Az eljárást ismerő források szerint a napvilágra került esetek immár rendszerszintű problémára utalhatnak.,politics
9933,Viszont ugyanígy hős is lehet egy csoporttagból.,other
2971,"A Tesla és a Twitter vezérigazgatója, Elon Musk új mesterséges intelligencia (AI) kutatólaboratóriummal tervezi meglovagolni a ChatGPT chatbot sikerét.",technology
6345,"Hangsúlyozta, számára a világ közösségének erre adott reakciója volt fontos, és megköszönte a támogatást.",politics
2653,A Svájc által az országban lévő orosz eszközök feltárására hivatott hivatalnokok enyhén szólva gyengén teljesítettek.,politics
1828,"A megoldás kulcsa az, hogy az országba jönni akaró migráns hol tartózkodik addig, amíg elbírálják a belépési kérelmét – tette hozzá.",politics
2252,A nyíregyházi zenekar igyekezett Marco Rossi szövetségi kapitány kedvében járni.,other
5779,"Ezen az sem változtatott, hogy a pandémia vége óta az átlagosnál jobban emelkedtek a jegyárak.",economy
3450,"Az átvételkor a jogosultság igazolásával előzetes igénylés benyújtása nélkül is lesz lehetőség az utalványt átvenni, ebben az esetben azonban hosszabb ügyintézési időre kell számítani a helyszínen.",other
3829,"Az euró jegyzése a hétfő kora esti 1,0918 dollárról 1,0926 dollárra változott.",economy
6406,"Hat évvel ezelőtt úgy éreztük, hogy nekünk ebből elég volt, mi beakarjuk utazni a világot ezért lépnünk kell, mielőtt túl késő lenne.",other
81,"A 70-es években nincs olyan örömtanya, mulató vagy bordély, ahonnan ne fizetnének sápot Thaisznak.",other
6803,Itt vannak a valós adatok: az orvosok döntő többsége tagja maradt a kamaránakAz orvosok 80 százaléka megerősítette kamarai tagságát.,politics
4667,Bujdos Tibor fotóriporterünk megörökített egy-egy csodás fát vagy virágot: legyen mire emlékezni az év többi részében.,other
2510,A Reuters hírügynökség szerint már legalább tizenkét ember meghalt a péntek hajnali orosz támadásokban Ukrajnában.,politics
5564,És hogy mit kapunk ennyi pénzért?,other
4394,Az ukrajnai következtében a lengyel piacot elárasztó olcsóbb ukrán termékek kérdése megosztónak bizonyult az októberi lengyelországi országos választások előtt.,politics
8132,"Mutatunk most néhány panelt, hogyan mondhatunk nemet másoknak a munkában.",other
5243,Élete első felnőtt egyéni öttusa világversenyét nyerte szombaton Guzi Blanka.,sport
1354,"A kormány eredetileg úgy hirdette meg a programot, hogy annak fő célja az elhanyagolt iparterületek városi szövetbe való visszaillesztése, amelyekre az önkormányzatok tehetnek javaslatot.",politics
1399,A következő meghallgatásra augusztus 28-án kerül sor.,other
7978,"Mire összekuporgattam a pénzem, elfogyott a fa, most meg nem sok jóval biztatnak – kesergett egy Himodon élő nő.",other
7141,Komoly anyagi gondjaik miatt azonban a Piarista Gimnáziumban működő ukrán program közösségi adománygyűjtésbe kezdett.,economy
2881,"A tanulók Petőfi-költeményeket szavaltak és megzenésített verseit énekelték, előadást Hadnagy Gizella tanítónő tartott.",other
1500,"A kutatásból kiderül, hogy 2023 elején egyelőre nem érzékelhető válság a magyar munkaerőpiaconés a bérigények növekedése egyre nagyobb kihívást jelent a vállalatok számára.",economy
6458,"Hétfőn hivatalosan jelezte indulási szándékát Mike Pence volt alelnök is, amikor benyújtotta a jelöltséghez szükséges nyilatkozatot az Egyesült Államok központi választási szervéhez.",politics
8779,"Pörög az újépítésű lakáspiac a Balatonnál, mondta a Balla Ingatlan siófoki irodájának vezetője Ingatlanüzlet című műsorunkban.",economy
1784,"A második negyedévben a vártnál nagyobb mértékben gyarapodott az Egyesült Államok bruttó hazai terméke a washingtoni kereskedelmi minisztérium statisztikai intézete, a Bureau of Economic Analysis (BEA) csütörtökön publikált előzetes kalkulációja alapján.",economy
4822,"Dél-koreai látogatásának második napján a főtitkár a többi között kitért arra, hogy a nukleáris elrettentés mindaddig szükséges lesz, míg autoriter államok nukleáris fegyvereket birtokolnak, és fejlesztenek.",politics
4855,"De remélem, hogy egyszer sikerülni fog!",other
4191,"Az ősz egyik természetes velejárója, hogy lehullanak a falevelek, ebből eredően az ősz nem kevés feladatot jelent a városüzemeltetés számára.",other
8730,Persze a hazai ügyvédi irodák is szívesen dolgoznak az államnak.,politics
648,"A folytatás nagy küzdelmet hozott, s bár mindkét gárdának akadtak lehetőségei, a szünet előtt három perccel a hazaiak törték meg gólcsendjüket, így a szünetre 1-1-es állással vonultak a felek.",other
8347,"Nem kenyeret és cirkuszt kínált a tömegeknek, hanem félelmet és gyűlöletet.",other
2522,"A ritka palackért 750 000 és 1,2 millió font közötti összeget vártak, de a becsléseket felülmúlva a licit szombaton 2 187 500 fontot (vagyis mintegy 946 millió forintot) ért el, ezzel új eladási rekordot beállítva.",economy
3395,"Az amerikai tőzsdén jegyzett kínai vállalatok 3,8 százalékkal emelkedtek tegnap.",economy
2441,"A reform nem módosítja jelentősen az úgynevezett dublini rendszert, amely előírja, hogy az EU területére érkezőknek abban az uniós országban kell védelmet kérniük, ahová először belépnek.",politics
6571,Hozzátette: ezért hazánk számára kulcsfontosságú az új atomerőművi blokkok gyors megépítése.,technology
5491,“Erdély mindörökre román föld marad”.,politics
2480,"A rendőrség, a Magyar Közút, és a Kormányhivatal közösen kezdeményezte, hogy az elkészült szakaszokon a KRESZ hatályban lévő sebesség határait lehessen alkalmazni, de nem kaptak még erre választ.",trafic
6158,"Gázában több mint kétmillió palesztin él egy szűk földsávon, amelyet „a világ legnagyobb szabadtéri börtönének” is nevezik.",politics
5315,"El se mozdult mellőlem, így született meg a Hosszú, rögös út című dal, amit ott írtam meg és aminek első sora a történteket idézi fel: „Hosszú, rögös ez az út, melyről nincsen visszaút.",music
3958,"Az Infobae azon kérdésére, hogy a cölibátus visszavonható-e, Ferenc pápa igennel felelt.",politics
9028,Sokoldalú ember volt.,other
9730,"Utóbbi évek egyik legkiegyensúlyozottabb idénye zajlik most, senki nem tudja megmondani, hogy ki lesz a végén az első.",sport
9855,"Végképp nem kell, hogy szállítsuk őket sehova.",other
3758,"Az eredmény minden, csak nem megnyugtató.",other
5058,"Egyfelől saját belső fogyasztására építeni, másfelől a vele baráti országokkal létrehozni az „Egy övezet, egy út” kezdeményezést, és ezzel megteremteni a maga saját külkereskedelmi csatornáit.",economy
6529,"Holott a kezdet sem volt egyszerű, hiszen a koronavírus-járvány évében érkeztünk, és három hónapra munka nélkül maradtam a covid miatti szigorítások következtében.",other
6882,"Johnt és szeretteit viszont nemcsak megfenyegették, de meg is ütötték a fiatalt.",other
9718,"Utána még Mitchell McDiarmid is megelőzött, így be kellett érnem a harmadik hellyel.",sport
2029,"A mostani áresésben így természetesen szerepet játszik a növekvő amerikai kitermelés, de ez önmagában nem lenne elegendő: sok múlik az olajexportálók szervezeten és a velük társult államokon (OPEC+).",economy
8528,"Októberben Prágában lesz estje, de a város alpolgármestere arra kérte a befogadó intézményt, hogy mondják le az alkalmat, mivel az énekesnő az ukrán szankciós listán is szerepel.",politics
3582,"Az éjjel Odesszát érte újabb raétatámadás, civil áldozattal - a legnagyobb templomot is találat érte.",politics
8973,"Sepsiszentgyörgy önkormányzata a napokban az alábbiakat közölte közösségi oldalán, két fénykép alatt: „Mindössze ennyi maradt a szépmezői betlehemesből, miután ismeretlenek megrongálták azt.",politics
8937,"Sajnos Csongrád-Csanád vármegyében több generátor kezelőjét is megfenyegették, követelték a rendszer leállítását, holott azzal hatalmas gazdasági károk keletkeztek volna egy jégeső során.",economy
4099,Azonban mi akkor is kitartunk a béke mellett!,politics
347,A csalásokkal közel 12 millió forintot csalt ki az áldozattól.,other
8824,"Ragaszkodott hozzá, hogy a vitát ő zárja le, ezért életveszélyes sebet ejtett Martin fején.",other
3406,"Az antibiotikumokat is érinti a hiány, de ez csak egyes gyártóknál jelentkezik, és vannak helyettesítő termékek.",other
1341,"A kora hajnali órákban nagdrág nélkül mászkált, és lakóházak kamerás csengői előtt lóbálta a péniszét, majd behelyezte azt a henger alakú postaládákba.",other
8637,"Ösztönösen több cukrot szeretnél enni, hogy újra energiához juss – és itt a pillanat, hogy ellenállj a kísértésnek.",other
1954,"Ami mindent, de mindent magában foglal, amit Gulyás Gergelyről e pillanatban gondolunk.",politics
4309,"Azt már Nagy Sándor, városfejlesztési alpolgármester mondta el a Népszava érdeklődésére, hogy a lehetséges befektetővel folytatott tárgyalások még nem jutottak el abba a szakaszba, hogy hivatalos bejelentést tehessenek.",politics
4368,Az újjászületésre a jelek szerint egészen mostanáig kellett várni.,other
9875,"Végül sikerrel járt, részben sportolói múltjának köszönhetően.",other
7707,"Míg a 2022-23-as fűtési szezonban a rezsicsökkentett árak tényleg komoly megtakarítást jelentettek a nemzetközi piaci árakhoz képest a magyar lakosságnak, addig a mostani helyzetben már jóval kisebb az árelőny.",economy
4540,"Bármikor elkezdődhet az építése annak a Fekete-tenger alatti vezetéknek, amelyen keresztül Magyarország és Románia georgiai és azeri megújuló energiaforráshoz jutna, lehetővé téve az orosz energiahordozók kiváltását.",economy
669,A fotók tanúsága szerint ide is unokái kíséretében ment.,other
5245,"Életre szóló élmény volt a hozzánk érkező érdekes emberekkel találkozni, beszélgetni.",other
2277,"A pandémia után még mindig sarkalatos kérdés, hogy mikor lesz képes a turizmus arra a mutatványra, mint a Covid előtti időkben?",economy
8235,Néha van egy-egy televíziós szereplésem.,other
9901,Veszélyes közúti körülményekre hívja fel a figyelmet a Magyar Közút -oldalán.,trafic
1728,"A Magyarország irányából a kampányban hirtelen Szlovákiára zúduló migrációs hullám miatt politikusok sora vádolta meg az Orbán-kormányt, hogy szándékosan, Robert Fico kampányának támogatása céljából irányították a menekülteket a szlovák határra.",politics
9053,"Sőt, elárulja azt is, milyen módon próbál minden korábbi emberi viszonyt helyreállítani, illetve feleségéről és gyermekeiről is beszél.",other
1969,"A miniszterelnök is ezt tette, és mindenkinek azt javaslom, hogy tegye is ezt.",politics
842,"A házasok és gyermekeik pedig azóta is szüntelen ott vannak, ott töltenek minden ünnepet.",holidays
6335,"Ha nem támadnak meg minket, nincs okuk az aggodalomra, mert nem fogunk harcolni"" - fűzte hozzá a Fülöp-szigeteki államfő.",politics
9917,"Vilmos herceg és Katalin hercegné rendkívül aranyos fotót osztott meg gyermekeikről, Györgyről, Saroltáról és Lajosról karácsony alkalmából.",holidays
9608,"Ugyanebben az interjúban azt is megjegyezte, hogy az eredeti film „rendkívül elavult”, már ami „a nők hatalmi szerepeiről alkotott elképzeléseket illeti, és azt, hogy egy nő mire hivatott a világban”.",other
6204,"Gyakorlati megoldást egy aktív kutya jelenthet, ha játéknak fogja fel a gém elüldözését.”",other
322,"A cikk szerint a Puskás Arénában gyönyörű gólpasszt is jegyző 19 éves szélső „megmutatta, miért ő Európa egyik legfényesebb tehetsége.”",sport
6758,"Intenzív osztályon kezelik azt a három éves kisfiút, akire brutálisan rátámadott egy kutya, miközben szüleivel volt.",other
240,"A boszniai Szerb Köztársaság légirendészeti szolgálatának helikoptere vasárnap délután 20 bevetés után sem tudott közel kerülni a sérült hegymászóhoz, aki négyszáz méter magasan lógott a függőleges sziklán, írja az MTI.",other
9247,Szívhez szóló sorokat tettek közzé a Mályi Madármentő Állomás természetvédői a denevérek védelmében.,other
7455,"Mára már kimondható, hogy az emberiség jóléte ebben a formában fenntarthatatlan – fogalmazott a szakértő.",other
6190,"Grúziában, Romániában, Horvátországban, Nagy-Britanniában és most már hazánkban is lehetett földmozgásokat érzékelni.",other
9060,Sőt szervizelési lehetőséget is biztosítanak a számukra.,technology
7433,"Makray Balázs elmondta, hogy igyekeztek csatlakozni minél több kezdeményezéshez.",other
8753,"Petőfi 200 – A költő nyomában Szatmárban címmel tart előadást dr. Kiss Kálmán főiskolai tanár, a Nyíregyházi Egyetem oktatója április 12-én, szerdán 16.30-tól a megyei könyvtár konferenciatermében.",other
7973,"Mióta van meg az adott ruhadarab, és milyen állapotban van?",other
1559,"Áldozatok nem voltak, károk nem keletkeztek – írja a TASZSZ.",other
7535,"Mediációs kapocsként is működünk, ugyanis szoros szakmai kapcsolatban állunk a vásárhelyi szociális ellátórendszer kollégáival” – tette hozzá Zoltai Csaba.",other
2864,"A találkozó során Zolival megnyílnak egymásnak, és szóba került a szüleikkel való viszonyuk.",other
4796,"Debrecen mellett épül a BMW-gyár, ahol kulturális pszichológusként az a feladatom, hogy felkészítsem az idejövő német menedzsereket a helyi kulturális környezetre.",economy
4886,"Drámai események zajlottak le Mosonszolnokon szombat délután, ahol egy kétéves kisfiú játék közben felmászott a kerti medence létrájára, és beleesett a vízbe.",other
5913,"Ezt a tavat azért szeretem, mert intenzíven telepített halak vannak benne, ha a Krasznán húsz évig horgásznék, akkor sem fognék ilyen szép amurt.",other
3485,"Az eddigi hírekkel ellentétben valószínűleg nem egy fegyver lövedékéből, hanem csőbombából származó repeszek sebesítették meg a magyar katonákat Koszovóban.",politics
1221,"Akiket te megöltél, nem sakkfigurák voltak, hanem emberek, akiket hazavárt a családjuk.",other
6678,Így az idén már egy (nem is akármilyen kvalitású!) külföldi sztár is fellépett az egyre népszerűbb programsorozat keretében.,other
2276,"A panasznak persze nincs jogalapja, és nyilvánvalóan nem lehet érv az ellenőrizetlen élelmiszer-behozatalra egy tagországba”",politics
4315,"Azt mondta, csupán a katolikus erkölcsi tanításra utalt, amely szerint a házasságon kívüli szexuális aktus bűn.",other
7831,"Mindezek mellett a polgármesteri hivatalnak célja, hogy a jelenleginél is kisebb legyen a repülőtér környezetének zajterhelése.",politics
3381,"Az amerikai és az orosz külpolitikára is jellemző ez a nagyhatalmi autizmus, de a kínai kommunista vezetőkkel szemben lényegesen nagyobbak a belpolitikai követelmények.",politics
7526,"Máté Antal, Nyírbátor polgármestere volt a podcast vendégünk, aki elmesélte, hogy milyen változásokon ment át az utóbbi fél évszázadban a város.",politics
5060,"Egy freiburgi esetben ugyanis feltűnt a hatóságnak, hogy míg az injekciós segédeszköz az eredeti változatban világoskék, a hamisítvány viszont sötétkék, a toll végén lévő injekciós gomb pedig az eredetin szürke színű, a hamisítványon viszont kék.",other
9745,Vagy akár az ajándékozó rokonok is rögtön utalhatnak.,other
1822,"A megkérdezettek többsége követ valamilyen diétát, a speciális élelmiszerek beszerzését azonban több tényező is nehezíti, leginkább az áruk.",other
5419,"Ennek eleme egyfajta ""hazafias zsarolási"" is: aki ellenzi a kormányprogramot, azt megbélyegezhetik, hogy nem igazi patrióta.",politics
6782,Itt a válasz az örök konyhai kérdésre: benne hagyhatjuk a fakanalat főzés közben az ételben?,other
2272,A pályázatokat január 31-ig lehetett benyújtani.,other
1080,"A karbantartás és az esetleges meghibásodások javításának terhe az önkormányzaté, tették hozzá.",politics
4369,Az újjászületett ezúttal szó szerint értendő.,other
4788,"De azt azért nem gondoltam, hogy pár év alatt ebből egy új sportág szökken szárba.",sport
6727,"Ilyenkor el kell engedni.""",other
3077,"A Tyre Collective technológiájának a legnagyobb erőssége, hogy a 10 mikronnál kisebb részecskéket is képes hatékonyan megkötni.",technology
8381,"Nem találtuk a réseket az MTK vonalai között, és nem is kerültünk igazán nagy helyzetbe a gólon kívül – summázott Bárány Donát.",other
8840,Randevúzik-e Orbán Viktor a diákokkal péntek este fél 8-kor?,politics
5674,"Ez a város Joe Biden otthona, ahol általában hétvégéit és szabad idejét is tölti.",politics
6241,"Ha az Egyesült Államok megvétózza a határozatot, az ENSZ Közgyűlése közbeléphet annak elfogadása érdekében.",politics
7102,"Kincses Gyula nevével és fotójával visszaélve reklámoztak egy készítményt, amely ""serkenti a fiatal vörösvérsejtek termelését, és az erek tisztításában és javításában vesznek részt"".",other
1097,"A katasztrófavédelem szerint egy arra közlekedő szabadnapos tűzoltó áramtalanította a járművet, amelynek vezetője saját erejéből ki tudott szállni.",trafic
4960,"Egész életünkben dolgoztunk, soha nem voltunk korruptak, soha nem loptunk – mondta egyikük.",politics
8935,"Sajnos aznap a hőmérséklet elérte a 37,7 fokot, így a járműben még annál is nagyobb hőség tombolt.",other
9458,"Többek között a portugál cég, az EDP vezérigazgatója, Miguel Stilwell is beszélt terveiről.",economy
539,"A felkészülést már meg is kezdték, meg is látogatta őket Drávucz Rita és Flóra.",other
5924,"Ezt el kell fogadnunk – utalt Ralf egyértelműen arra, hogy legendás bátyja továbbra sincs jó állapotban.",other
15,"A 16. futamban a viadalt feladó finn Salonen helyett a másik tartalékversenyző, Füzesi Richárd is bemutatkozott, Magosival vívtak volna csatát, ha a rutinos speedwolfos az első kanyart követően faképnél nem hagyja a többiekkel együtt.",other
5495,"Érdemes kivárni, mert a jegybank folyamatos kamatcsökkentésre rendezkedett be.",economy
5571,És mi mit tanulhatnánk tőlük?,other
6251,"Habár a legfőbb feladatunk az lesz, hogy a hatalmas szörnyeket megállítva rendet teremtsünk Minato apró falujában, jól tudjuk, hogy minden közösség lelke és valódi ereje annak tagjaiból ered.",other
5745,Ezeket a díjakat közzé kell tennie az ügyfelek számára a bankfiókokban és a honlapján – olvasható a közleményben.,economy
2197,"Anime-rajongók előnyben, ugyanis a Shingeki no Kyojin (Attack on Titan) főszereplője, Eren Jaeger skinje is elérhetővé válhat.",other
625,"A fő kérdés mégis az lesz, hogy szórakoztatóbb-e tévézés közben elemezgetni, mint játszani azt.",other
2300,"A PayPal szombaton közölte, hogy felfüggeszti szolgáltatásait Oroszországban, ezzel is.",technology
4824,Délután 8-14 fok között alakulhat a legmagasabb hőmérséklet – közölte az OMSZ.,other
1453,"A központ válaszát így idézte a lap: ""60 napon túli lejárt tartozásállománya a tankerületeknek a tőlük kapott információk alapján 02.28-i fordulónappal összesen 75 millió forint.",economy
1957,"A minap pedig szerkesztőségünket megkereste egy olvasó-riporter is, azt állítva, a válás után Kucsera Gábor ismét egy ismert hölggyel találkozgat.",other
3430,"A zárókoncert vasárnap este Charlie fellépése lesz, a művész 75. születésnapi produkcióját hozza el, amelyet októberben is láthatott már a közönség.",music
2629,"A spanyolok hosszabb gólcsendjét Munarriz törte meg, elöl viszont megint nem jutott el a kapuig a labda a magyar emberelőnyben.",other
4237,"A Zsigmond nevű üzletemberrel két és fél évig alkottak egy párt, de tavaly áprilisban szakítottak, azóta pedig nem beszél magánéletéről az egykori luxusfeleség.",other
7735,Mi lesz az energiaellátással és az árakkal?,economy
1535,A lányok szombaton a Győri Audi ETO KC otthonában kaptak ki 35–23-ra.,sport
6404,Hat ember - köztük egy 17 éves anya és féléves gyermeke - vesztette életét egy lőfegyveres támadásban hétfőn Kalifornia középső részén – közölték a helyi hatóságok.,other
6526,"Hollandia nem hezitál, hanem cselekszik: az Amszterdamtól nyugatra fekvő Haarlem városában például 2024-től betiltják a húsok és húskészítmények reklámozását és a hústermékeket úgy fogják kezelni, mint napjainkban a dohányárut és az alkoholt.",other
1682,"A maginflációs adat azonban 5,2 százalékon stagnál – emelte ki a K&H vezető elemzője.",economy
719,A gépek által készített illusztrációk nem érdekelnek.,technology
6738,"Immár ötödik alkalommal rendezi meg a rendőrség a Light Friday elnevezésű programot, amelynek keretében láthatóságot segítő közlekedésbiztonsági eszközöket kaphatnak a közlekedők.",trafic
7431,Május végén a Körös-Maros Nemzeti Park Cserebökény részterületén egy lucernatarlón több száz madár táplálkozott egyszerre.,other
6374,"Háromszék Kultúrájáért Díjjal tüntették ki a nyolcvanéves Petre Străchinaru nyugalmazott tanárt, művelődésszervezőt vasárnap a román kultúra napja alkalmából az Árkosi Kulturális Központ sepsiszentgyörgyi székhelyén szervezett ünnepség keretében.",other
5659,Ez a „negatív” érzelmek feldolgozásának egy alternatív módja.,other
4958,"Egerben tevékenykedik már több évtizede, manuális és automatizált sebességváltók, illetve ezek alkatrészeinek gyártásával és értékesítésével foglalkozik.",technology
2108,"A napokban azzal került ismét a középpontba, hogy a kisalföldi város díszpolgárának jelölték.",other
2988,A tiltakozások hatására végül az engedélyeztetésben külön eljárás vonatkozik ezekre a növényekre.,politics
334,"A család egyik barátja mondta el, hogy miután felesége meghalt, Michael megváltozott, elcsendesedett, a napi rutinjuk nélkül csak küszködött és mély gyászba süllyedt.",other
2797,A Szlovák Állami Természetvédelmi Hivatal (ŠOP) szerint a medvét minden bizonnyal a melegebb időjárás és az azt megelőző esős időjárás ébresztette fel téli álmából.,other
223,"A bölcsőde két csoport, húsz gyerek befogadására alkalmas.",other
361,"A csatornák évek óta egymásnak adogatják a film jogát, idén pont a TV2-nek jutott, és az első rész hozta is a kötelezőt: a 705 ezres nézőszám kiemelkedett a mezőnyből.",other
9559,"Tudomásom szerint a Wagner-katonák, akik kiváló harcosok, a táborukban tartózkodnak.
9560	Tudomásunk van a Carney amerikai romboló és kereskedelmi hajók elleni támadásokról szóló jelentésekről a Vörös-tengeren és közzétesszük az információkat, amint rendelkezésre állnak - ismertette közleményében az amerikai védelmi tárca.",politics
8612,"Őrtűz ég Erdélyben, a Csíkrákoshoz tartozó Bogát-hegyen Székelyföld autonómiájának napján, október 29-én.",politics
9571,"Túrájuk névadóját egy bokor csúcsán üldögélve látták meg, de a másik két faj példányait is sikerült kiszúrniuk.",other
6387,"Ha strand vagy tó közelében él, érdemes arra is gondolni, hogy az uszkárok kivételes úszók.",other
3893,Az FTC 1971 és 2002 után harmadik alkalommal került a legrangosabb európai kupasorozat döntőjébe.,sport
